iter	Passed	Remaining
0	63	14831
1	64	7470
2	65	5046
3	67	3839
4	68	3115
5	68	2605
6	69	2239
7	69	1968
8	70	1761
9	71	1598
10	72	1462
11	73	1348
12	73	1251
13	74	1170
14	75	1096
15	76	1032
16	76	976
17	77	925
18	78	878
19	78	837
20	78	797
21	80	768
22	80	733
23	80	701
24	80	671
25	80	643
26	81	618
27	81	599
28	82	580
29	83	563
30	83	547
31	84	533
32	85	517
33	86	503
34	86	488
35	87	477
36	87	465
37	88	454
38	88	441
39	88	428
40	89	417
41	89	406
42	89	395
43	89	385
44	89	375
45	90	365
46	90	356
47	90	348
48	90	339
49	90	331
50	90	324
51	90	316
52	91	309
53	91	304
54	91	297
55	92	293
56	93	289
57	93	283
58	94	277
59	94	271
60	94	266
61	94	260
62	94	256
63	95	252
64	95	247
65	96	243
66	96	238
67	97	235
68	97	232
69	98	230
70	99	226
71	99	223
72	100	220
73	100	216
74	101	213
75	102	210
76	102	207
77	102	204
78	102	200
79	102	196
80	103	193
81	103	189
82	103	186
83	103	183
84	104	181
85	104	179
86	105	176
87	105	173
88	105	170
89	105	168
90	106	165
91	106	162
92	106	160
93	106	157
94	106	154
95	106	152
96	106	150
97	107	147
98	107	145
99	107	142
100	107	140
101	107	138
102	107	136
103	107	133
104	108	131
105	108	129
106	108	127
107	108	125
108	109	124
109	109	122
110	109	120
111	110	119
112	110	117
113	110	115
114	110	113
115	111	112
116	111	110
117	111	108
118	111	107
119	112	105
120	112	104
121	113	102
122	113	101
123	113	100
124	114	98
125	114	97
126	114	95
127	114	94
128	114	92
129	115	91
130	115	89
131	115	88
132	116	87
133	116	85
134	116	84
135	116	83
136	116	81
137	116	80
138	117	79
139	117	78
140	118	77
141	119	76
142	119	75
143	119	73
144	119	72
145	119	71
146	119	70
147	120	68
