iter	Passed	Remaining
0	0	124
1	1	125
2	1	110
3	2	113
4	3	126
5	3	118
6	4	116
7	5	118
8	5	114
9	6	113
10	6	109
11	7	108
12	8	107
13	8	102
14	8	100
15	9	99
16	9	96
17	10	96
18	10	95
19	11	94
20	11	93
21	12	93
22	13	92
23	13	91
24	14	91
25	14	89
26	15	89
27	15	88
28	16	88
29	16	87
30	17	86
31	17	86
32	18	85
33	19	85
34	19	83
35	19	83
36	20	82
37	21	81
38	21	81
39	22	80
40	22	80
41	23	80
42	24	80
43	24	79
44	25	79
45	25	78
46	26	78
47	26	77
48	27	77
49	28	76
50	28	76
51	29	76
52	30	76
53	30	75
54	31	75
55	32	74
56	32	74
57	33	74
58	34	73
59	35	73
60	35	73
61	36	73
62	37	73
63	38	73
64	39	72
65	39	72
66	40	71
67	41	71
68	41	70
69	42	70
70	42	69
71	43	69
72	44	68
73	44	67
74	45	67
75	46	66
76	46	66
77	47	65
78	48	65
79	48	64
80	49	63
81	49	63
82	50	62
83	50	61
84	51	61
85	52	60
86	52	60
87	53	59
88	54	58
89	54	58
90	55	57
91	55	56
92	56	56
93	56	55
94	57	55
95	58	54
96	58	54
97	59	53
98	60	52
99	60	52
100	61	51
101	62	51
102	62	50
103	63	49
104	63	49
105	64	48
106	64	47
107	65	47
108	65	46
109	66	45
110	67	45
111	68	44
112	68	44
113	69	43
114	69	43
115	70	42
116	70	41
117	71	41
118	71	40
119	72	39
120	72	39
121	73	38
122	73	37
123	74	37
124	75	36
125	75	36
126	76	35
127	76	34
128	77	34
129	77	33
130	78	32
131	79	32
132	80	32
133	81	31
134	82	31
135	83	30
136	83	29
137	84	29
138	85	28
139	86	28
140	87	27
141	87	27
142	88	26
143	89	26
144	89	25
145	90	24
146	91	24
147	91	23
148	92	22
149	93	22
150	93	21
151	94	21
152	95	20
153	95	19
154	96	19
155	96	18
156	97	18
157	98	17
158	99	16
159	99	16
160	100	15
161	101	15
162	102	14
163	102	13
164	103	13
165	104	12
166	104	11
167	105	11
168	106	10
169	106	10
170	107	9
171	107	8
172	108	8
173	109	7
174	109	6
175	110	6
176	111	5
177	111	5
178	112	4
179	112	3
180	112	3
181	113	2
182	114	1
183	114	1
184	115	0
185	115	0
