iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.8933333333333333,0.1534781924429512,0.9712918660287082,0.04157451482531763,0.3875499937547153,0.0873650240677602,0.34913447490089233,0.030673880925990958
1,0.9,0.22360679774997896,1.0,0.0,0.22377406455679752,0.08485771741782007,0.17159577549820687,0.01972474012922577
2,1.0,0.0,1.0,0.0,0.11615670330895327,0.04924350133869182,0.08035029648106945,0.010099755015042426
3,0.8933333333333333,0.1534781924429512,1.0,0.0,0.09460491497385476,0.07858109726986386,0.03779050669473686,0.005795318097864901
4,0.9333333333333332,0.149071198499986,1.0,0.0,0.06844350105735447,0.06885869967901449,0.019350611295928195,0.00429215183609747
5,0.9333333333333332,0.149071198499986,1.0,0.0,0.04958546725223312,0.05082582931482348,0.010949801915328464,0.00215521428295118
6,1.0,0.0,1.0,0.0,0.030765753340629205,0.03410084470177875,0.0060311253093639555,0.0012261573356430603
7,1.0,0.0,1.0,0.0,0.030503465416785135,0.033969560359826685,0.003349051217748611,0.0005338058135610642
8,0.96,0.08944271909999157,1.0,0.0,0.030958363860958443,0.04005665668753593,0.0020458554894159106,0.0003891510758413721
9,0.96,0.08944271909999157,1.0,0.0,0.031560031173393926,0.04764429783524212,0.001248653588212716,0.00024378919996143045
10,0.96,0.08944271909999157,1.0,0.0,0.031027430981295834,0.04778305848653897,0.0007975326119732716,0.00017943141603371542
11,0.96,0.08944271909999157,1.0,0.0,0.027187603842213127,0.04078349450317407,0.0005465278610823122,0.00012926975628212408
12,1.0,0.0,1.0,0.0,0.020402652194592273,0.029703205717533366,0.00035616200458674454,6.94596577817336e-05
13,0.96,0.08944271909999157,1.0,0.0,0.021705454678711513,0.03488080295995996,0.00025962952569305944,5.561353747302764e-05
14,0.96,0.08944271909999157,1.0,0.0,0.021526206556303787,0.03492907545677216,0.00019564152972604198,4.3425884920597315e-05
15,1.0,0.0,1.0,0.0,0.01712546845704447,0.02732310682425934,0.0001445771776776459,3.221574607060026e-05
16,1.0,0.0,1.0,0.0,0.019501497225252008,0.03283010702942536,0.00010742432532244962,1.9243483465990747e-05
17,1.0,0.0,1.0,0.0,0.017612901166803824,0.029219803579888147,8.973836192481412e-05,2.0899267999099998e-05
18,1.0,0.0,1.0,0.0,0.015003364277959568,0.02473799141284362,7.003007598792664e-05,1.8873950001123476e-05
19,1.0,0.0,1.0,0.0,0.012717675491723835,0.020089840234430646,5.6991008577267637e-05,1.706020516865579e-05
20,1.0,0.0,1.0,0.0,0.01155022392636974,0.01775576131804644,4.870387475520507e-05,1.7748944102060815e-05
21,1.0,0.0,1.0,0.0,0.01041741114916338,0.015185183746371074,3.90363564246445e-05,1.0775800127768472e-05
22,1.0,0.0,1.0,0.0,0.010510389671957077,0.015989785803375282,3.201851009002821e-05,8.248894313630324e-06
23,1.0,0.0,1.0,0.0,0.010301645740525358,0.01592057748999538,2.6630174663292663e-05,6.164434417587718e-06
24,1.0,0.0,1.0,0.0,0.009112902963225897,0.014004499165034654,2.3963166689316386e-05,4.308598347466978e-06
25,1.0,0.0,1.0,0.0,0.008034511983277195,0.011630228522252322,2.0557896066823114e-05,2.8268632600221848e-06
26,1.0,0.0,1.0,0.0,0.007868245931274755,0.01152714892853273,2.0002626705166463e-05,2.1143281107118964e-06
27,1.0,0.0,1.0,0.0,0.007903292217394851,0.011548212983763559,1.9704395234784333e-05,1.9077845382067398e-06
28,1.0,0.0,1.0,0.0,0.007823891944359692,0.011502179226180994,1.897320980721857e-05,2.2701967842030622e-06
29,1.0,0.0,1.0,0.0,0.007819296924117616,0.011499638186210137,1.8745424539206118e-05,2.2633008698004403e-06
30,1.0,0.0,1.0,0.0,0.007758403787808639,0.011465777940724738,1.8613242922496642e-05,2.1543020262009054e-06
