iter	Passed	Remaining
0	5	1020
1	6	641
2	8	513
3	10	457
4	11	415
5	12	382
6	14	373
7	16	374
8	18	359
9	20	357
10	22	354
11	24	352
12	25	345
13	27	341
14	29	333
15	30	319
16	31	309
17	34	319
18	35	310
19	36	304
20	38	298
21	39	291
22	40	285
23	40	276
24	41	267
25	42	261
26	43	255
27	44	250
28	45	246
29	46	239
30	46	233
31	47	228
32	48	225
33	50	223
34	51	222
35	52	220
36	53	216
37	54	212
38	55	210
39	56	207
40	57	202
41	57	198
42	58	193
43	59	191
44	59	187
45	60	183
46	60	179
47	61	176
48	61	173
49	63	171
50	64	170
51	66	170
52	67	169
53	68	168
54	70	168
55	72	167
56	72	164
57	74	164
58	76	164
59	77	161
60	78	160
61	79	158
62	80	157
63	82	156
64	83	155
65	84	154
66	85	152
67	87	151
68	88	149
69	89	147
70	90	146
71	91	145
72	93	144
73	94	142
74	94	140
75	96	139
76	98	139
77	99	137
78	100	136
79	101	134
80	102	133
81	104	132
82	106	132
83	108	131
84	110	130
85	111	129
86	113	129
87	115	128
88	115	126
89	116	124
90	118	123
91	118	121
92	120	120
93	120	118
94	121	116
95	121	114
96	121	111
97	122	109
98	122	107
99	122	105
100	123	103
101	123	102
102	125	100
103	127	100
104	128	99
105	130	98
106	130	96
107	131	94
108	131	93
109	133	91
110	134	90
111	135	89
112	135	87
113	136	86
114	137	84
115	138	83
116	139	82
117	141	81
118	142	80
119	144	79
120	145	78
121	146	76
122	147	75
123	148	74
124	149	72
125	150	71
126	151	70
127	152	68
128	152	67
129	152	65
130	153	64
131	153	62
132	154	61
133	154	60
134	155	58
135	156	57
136	157	56
137	158	55
138	159	53
139	160	52
140	162	51
141	163	50
142	164	49
143	165	48
144	166	47
145	167	45
146	168	44
147	169	43
148	170	42
149	171	41
150	172	39
151	173	38
152	174	37
153	175	36
154	176	35
155	176	34
156	177	32
157	178	31
158	180	30
159	181	29
160	183	28
161	183	27
162	184	26
163	185	24
164	186	23
165	187	22
166	189	21
167	190	20
168	191	19
169	191	18
170	192	16
171	193	15
172	194	14
173	195	13
174	196	12
175	197	11
176	198	10
177	199	8
178	200	7
179	201	6
180	202	5
181	204	4
182	205	3
183	206	2
184	206	1
185	207	0
