iter	F1	Logloss
0	0.9473684211	0.3569395009
1	1	0.1645140415
2	1	0.07884904024
3	1	0.03772323599
4	1	0.01873843173
5	1	0.008991371545
6	1	0.005545374123
7	1	0.003636590752
8	1	0.002209567134
9	1	0.001420231967
10	1	0.0009409899896
11	1	0.0006775184375
12	1	0.0004315865418
13	1	0.0003065833812
14	1	0.0002139236534
15	1	0.0001530465903
16	1	0.0001067991764
17	1	9.82786368e-05
18	1	7.216758683e-05
19	1	5.602688172e-05
20	1	4.888147511e-05
21	1	4.032835113e-05
22	1	3.157793281e-05
23	1	2.385655771e-05
24	1	2.299544947e-05
25	1	1.986469866e-05
26	1	1.986205203e-05
27	1	1.986205203e-05
28	1	1.986205203e-05
29	1	1.986205203e-05
30	1	1.986205203e-05
31	1	1.782923629e-05
32	1	1.726814586e-05
33	1	1.669023784e-05
34	1	1.614830343e-05
35	1	1.564505795e-05
36	1	1.514641812e-05
37	1	1.467992725e-05
38	1	1.421200971e-05
39	1	1.381451565e-05
40	1	1.338544878e-05
41	1	1.298643918e-05
42	1	1.127994468e-05
43	1	1.127994468e-05
44	1	1.127994468e-05
45	1	1.127994468e-05
46	1	1.127994468e-05
47	1	1.127994468e-05
48	1	1.127994468e-05
49	1	1.127994468e-05
50	1	1.127994468e-05
51	1	1.127994468e-05
52	1	1.127994468e-05
53	1	1.127994468e-05
54	1	1.127994468e-05
55	1	1.127994468e-05
56	1	1.127994468e-05
57	1	1.127994468e-05
58	1	1.127994468e-05
59	1	1.127994468e-05
60	1	1.127994468e-05
61	1	1.127994468e-05
62	1	1.127994468e-05
63	1	1.127994468e-05
64	1	1.127994468e-05
65	1	1.127994468e-05
66	1	1.127994468e-05
67	1	1.127994468e-05
68	1	1.127994468e-05
69	1	1.127994468e-05
70	1	1.127994468e-05
71	1	1.127994468e-05
72	1	1.127994468e-05
73	1	1.127994468e-05
74	1	1.127994468e-05
75	1	1.127994468e-05
76	1	1.127994468e-05
77	1	1.127994468e-05
78	1	1.127994468e-05
79	1	1.127994468e-05
80	1	1.127994468e-05
81	1	1.127994468e-05
82	1	1.127994468e-05
83	1	1.127994468e-05
84	1	1.127994468e-05
85	1	1.127994468e-05
86	1	1.127994468e-05
87	1	1.127994468e-05
88	1	1.127994468e-05
89	1	1.127994468e-05
90	1	1.127994468e-05
91	1	1.127994468e-05
92	1	1.127994468e-05
93	1	1.127994468e-05
94	1	1.127994468e-05
95	1	1.127994468e-05
96	1	1.127994468e-05
97	1	1.127994468e-05
98	1	1.127994468e-05
99	1	1.127994468e-05
100	1	1.127994468e-05
101	1	1.127994468e-05
102	1	1.127994468e-05
103	1	1.127994468e-05
104	1	1.127994468e-05
105	1	1.127994468e-05
106	1	1.127994468e-05
107	1	1.127994468e-05
108	1	1.127994468e-05
109	1	1.127994468e-05
110	1	1.127994468e-05
111	1	1.127994468e-05
112	1	1.127994468e-05
113	1	1.127994468e-05
114	1	1.127994468e-05
115	1	1.127994468e-05
116	1	1.127994468e-05
117	1	1.127994468e-05
118	1	1.127994468e-05
119	1	1.127994468e-05
120	1	1.127994468e-05
121	1	1.127994468e-05
122	1	1.127994468e-05
123	1	1.127994468e-05
124	1	1.127994468e-05
125	1	1.127994468e-05
126	1	1.127994468e-05
127	1	1.127994468e-05
128	1	1.127994468e-05
129	1	1.127994468e-05
130	1	1.127994468e-05
131	1	1.127994468e-05
132	1	1.127994468e-05
133	1	1.127994468e-05
134	1	1.127994468e-05
135	1	1.127994468e-05
136	1	1.127994468e-05
137	1	1.127994468e-05
138	1	1.127994468e-05
139	1	1.127994468e-05
140	1	1.127994468e-05
141	1	1.127994468e-05
142	1	1.127994468e-05
143	1	1.127994468e-05
144	1	1.127994468e-05
145	1	1.127994468e-05
146	1	1.127994468e-05
147	1	1.127994468e-05
148	1	1.127994468e-05
149	1	1.127994468e-05
150	1	1.127994468e-05
151	1	1.127994468e-05
152	1	1.127994468e-05
153	1	1.127994468e-05
154	1	1.127994468e-05
155	1	1.127994468e-05
156	1	1.127994468e-05
157	1	1.127994468e-05
158	1	1.127994468e-05
159	1	1.127994468e-05
160	1	1.127994468e-05
161	1	1.127994468e-05
162	1	1.127994468e-05
163	1	1.127994468e-05
164	1	1.127994468e-05
165	1	1.127994468e-05
166	1	1.127994468e-05
167	1	1.127994468e-05
168	1	1.127994468e-05
169	1	1.127994468e-05
170	1	1.127994468e-05
171	1	1.127994468e-05
172	1	1.127994468e-05
173	1	1.127994468e-05
174	1	1.127994468e-05
175	1	1.127994468e-05
176	1	1.127994468e-05
177	1	1.127994468e-05
178	1	1.127994468e-05
179	1	1.127994468e-05
180	1	1.127994468e-05
181	1	1.127994468e-05
182	1	1.127994468e-05
183	1	1.127994468e-05
184	1	1.127994468e-05
185	1	1.127994468e-05
