iter	Logloss
0	0.3274220371
1	0.1588610178
2	0.07568889453
3	0.03756181647
4	0.01855334333
5	0.009920266787
6	0.005565412692
7	0.003176644095
8	0.001813244242
9	0.001131069936
10	0.0007487478991
11	0.000502779593
12	0.0002905531601
13	0.0002258068907
14	0.0001476843043
15	0.0001102526357
16	9.290427427e-05
17	7.515166347e-05
18	5.531639332e-05
19	4.353991725e-05
20	4.053420563e-05
21	3.017555408e-05
22	2.566945809e-05
23	2.104343319e-05
24	1.98298157e-05
25	1.925585739e-05
26	1.873325664e-05
27	1.698620633e-05
28	1.698620633e-05
29	1.698620633e-05
30	1.511262748e-05
31	1.511262748e-05
32	1.511262748e-05
33	1.313016798e-05
34	1.313016798e-05
35	1.313016798e-05
36	1.313016798e-05
37	1.313016798e-05
38	1.313016798e-05
39	1.313016798e-05
40	1.313016798e-05
41	1.313016798e-05
42	1.313016798e-05
43	1.313016798e-05
44	1.313016798e-05
45	1.313016798e-05
46	1.313016798e-05
47	1.313016798e-05
48	1.313016798e-05
49	1.313016798e-05
50	1.313016798e-05
51	1.313016798e-05
52	1.313016798e-05
53	1.313016798e-05
54	1.313016798e-05
55	1.313016798e-05
56	1.313016798e-05
57	1.313016798e-05
58	1.313016798e-05
59	1.313016798e-05
60	1.313016798e-05
61	1.313016798e-05
62	1.313016798e-05
63	1.313016798e-05
64	1.313016798e-05
65	1.313016798e-05
66	1.313016798e-05
67	1.313016798e-05
68	1.313016798e-05
69	1.313016798e-05
70	1.313016798e-05
71	1.313016798e-05
72	1.313016798e-05
73	1.313016798e-05
74	1.313016798e-05
75	1.313016798e-05
76	1.313016798e-05
77	1.313016798e-05
78	1.313016798e-05
79	1.313016798e-05
80	1.313016798e-05
81	1.313016798e-05
82	1.313016798e-05
83	1.313016798e-05
84	1.313016798e-05
85	1.313016798e-05
86	1.313016798e-05
87	1.313016798e-05
88	1.313016798e-05
89	1.313016798e-05
90	1.313016798e-05
91	1.313016798e-05
92	1.313016798e-05
93	1.313016798e-05
94	1.313016798e-05
95	1.313016798e-05
96	1.313016798e-05
97	1.313016798e-05
98	1.313016798e-05
99	1.313016798e-05
100	1.313016798e-05
101	1.313016798e-05
102	1.313016798e-05
103	1.313016798e-05
104	1.313016798e-05
105	1.313016798e-05
106	1.313016798e-05
107	1.313016798e-05
108	1.313016798e-05
109	1.313016798e-05
110	1.313016798e-05
111	1.313016798e-05
112	1.313016798e-05
113	1.313016798e-05
114	1.313016798e-05
115	1.313016798e-05
116	1.313016798e-05
117	1.313016798e-05
118	1.313016798e-05
119	1.313016798e-05
120	1.313016798e-05
121	1.313016798e-05
122	1.313016798e-05
123	1.313016798e-05
124	1.313016798e-05
125	1.313016798e-05
126	1.313016798e-05
127	1.313016798e-05
128	1.313016798e-05
129	1.313016798e-05
130	1.313016798e-05
131	1.313016798e-05
132	1.313016798e-05
133	1.313016798e-05
134	1.313016798e-05
135	1.313016798e-05
136	1.313016798e-05
137	1.313016798e-05
138	1.313016798e-05
139	1.313016798e-05
140	1.313016798e-05
141	1.313016798e-05
142	1.313016798e-05
143	1.313016798e-05
144	1.313016798e-05
145	1.313016798e-05
146	1.313016798e-05
147	1.313016798e-05
148	1.313016798e-05
149	1.313016798e-05
150	1.313016798e-05
151	1.313016798e-05
152	1.313016798e-05
153	1.313016798e-05
154	1.313016798e-05
155	1.313016798e-05
156	1.313016798e-05
157	1.313016798e-05
158	1.313016798e-05
159	1.313016798e-05
160	1.313016798e-05
161	1.313016798e-05
162	1.313016798e-05
163	1.313016798e-05
164	1.313016798e-05
165	1.313016798e-05
166	1.313016798e-05
167	1.313016798e-05
168	1.313016798e-05
169	1.313016798e-05
170	1.313016798e-05
171	1.313016798e-05
172	1.313016798e-05
173	1.313016798e-05
174	1.313016798e-05
175	1.313016798e-05
176	1.313016798e-05
177	1.313016798e-05
178	1.313016798e-05
179	1.313016798e-05
180	1.313016798e-05
181	1.313016798e-05
182	1.313016798e-05
183	1.313016798e-05
184	1.313016798e-05
185	1.313016798e-05
