iter	Passed	Remaining
0	1	285
1	2	184
2	2	137
3	2	117
4	2	104
5	3	98
6	3	86
7	3	81
8	3	78
9	4	73
10	4	68
11	4	65
12	4	63
13	4	61
14	5	58
15	5	57
16	5	55
17	5	55
18	6	54
19	6	52
20	6	52
21	6	51
22	7	50
23	7	49
24	7	48
25	7	47
26	7	46
27	8	45
28	8	44
29	8	43
30	8	43
31	8	42
32	8	41
33	9	40
34	9	40
35	9	39
36	9	39
37	9	38
38	10	37
39	10	37
40	10	37
41	10	36
42	10	35
43	10	35
44	11	35
45	11	35
46	11	35
47	12	34
48	12	34
49	13	35
50	13	35
51	13	34
52	13	34
53	13	34
54	14	33
55	14	33
56	14	32
57	14	32
58	14	32
59	15	31
60	15	32
61	16	32
62	16	31
63	16	31
64	16	31
65	17	31
66	17	30
67	17	30
68	17	29
69	17	29
70	18	29
71	18	28
72	18	28
73	18	28
74	18	27
75	19	27
76	19	27
77	19	27
78	19	26
79	19	26
80	20	26
81	20	25
82	20	25
83	20	25
84	21	25
85	21	24
86	21	24
87	21	24
88	22	24
89	22	23
90	22	23
91	22	23
92	22	22
93	23	22
94	23	22
95	23	21
96	23	21
97	23	21
98	23	21
99	24	20
100	24	20
101	24	20
102	24	19
103	24	19
104	25	19
105	25	19
106	25	18
107	25	18
108	26	18
109	26	18
110	26	17
111	26	17
112	26	17
113	26	16
114	27	16
115	27	16
116	27	16
117	27	16
118	28	15
119	28	15
120	28	15
121	28	15
122	29	14
123	29	14
124	29	14
125	30	14
126	30	14
127	30	13
128	30	13
129	31	13
130	31	13
131	31	12
132	31	12
133	31	12
134	31	12
135	31	11
136	32	11
137	32	11
138	32	10
139	32	10
140	32	10
141	32	10
142	33	9
143	33	9
144	33	9
145	33	9
146	33	9
147	34	8
148	34	8
149	34	8
150	34	8
151	34	7
152	35	7
153	35	7
154	35	7
155	35	6
156	35	6
157	35	6
158	36	6
159	36	5
160	36	5
161	36	5
162	37	5
163	37	5
164	38	4
165	38	4
166	38	4
167	38	4
168	39	3
169	39	3
170	39	3
171	39	3
172	40	3
173	40	2
174	40	2
175	41	2
176	41	2
177	41	1
178	41	1
179	41	1
180	42	1
181	42	0
182	42	0
183	42	0
184	42	0
185	42	0
