iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.8933333333333333,0.1534781924429512,1.0,0.0,0.4538082218270997,0.035191373658527585,0.42817605727730107,0.0022178194386163175
1,0.8,0.4472135954999579,1.0,0.0,0.28656443545652033,0.04339902385074174,0.2589816532449694,0.004933162027973566
2,0.8933333333333333,0.1534781924429512,1.0,0.0,0.2023337135888969,0.06151856969010383,0.1592366515583013,0.0036987845506868053
3,0.76,0.433589667773576,1.0,0.0,0.154712710035181,0.07229318757141054,0.1010287941869352,0.0028749513245331913
4,0.8933333333333333,0.1534781924429512,1.0,0.0,0.12906474857706868,0.08899168758137807,0.06455633108809969,0.0009034841092425508
5,0.76,0.433589667773576,1.0,0.0,0.11376012285224935,0.09846925620082689,0.043198945574607774,0.0007709738577123079
6,0.8933333333333333,0.1534781924429512,1.0,0.0,0.10973364336877287,0.11373925956770234,0.02896902746459735,0.00044337370095010547
7,0.8933333333333333,0.1534781924429512,1.0,0.0,0.10537388670091523,0.12258344212168751,0.020441308909781453,0.0004560763169610678
8,0.8933333333333333,0.1534781924429512,1.0,0.0,0.09422490969244005,0.11208031491540771,0.014593538560381564,0.0004715478304163191
9,0.8933333333333333,0.1534781924429512,1.0,0.0,0.09742942789722867,0.12321526546516023,0.010744447880733407,0.00024061253674038396
10,0.8933333333333333,0.1534781924429512,1.0,0.0,0.08832315098294295,0.11317698489101115,0.008149770850740767,0.00014561288003282912
11,0.8933333333333333,0.1534781924429512,1.0,0.0,0.08464890766128598,0.10835988257800379,0.0062697942497974765,0.00013883982120904868
12,0.8933333333333333,0.1534781924429512,1.0,0.0,0.07688610034642741,0.09889630833965486,0.0048731674031819265,0.0001319349947556494
13,0.8933333333333333,0.1534781924429512,1.0,0.0,0.07261828709624804,0.09426948729019449,0.003836874423330058,6.74138488590576e-05
14,0.8933333333333333,0.1534781924429512,1.0,0.0,0.06646883368563226,0.08727115432829148,0.003085525764465908,5.1857643555125445e-05
15,0.8933333333333333,0.1534781924429512,1.0,0.0,0.06914997689322487,0.09151168925792152,0.002543796332450955,7.357308153494252e-05
16,0.8933333333333333,0.1534781924429512,1.0,0.0,0.06503720930495996,0.0867665909973026,0.0021523484553073492,6.218298971554866e-05
